"np","dist","gamma","dir.hor","dir.ver","id"
458778,5509.11174540872,0.001185845,90,0,"var1"
524314,5509.09418356596,0.001195605,90,0,"var1"
589850,5509.0886926424,0.00171698,90,0,"var1"
655386,5509.08338323176,0.001722845,90,0,"var1"
720922,5509.04744247137,0.005907845,90,0,"var1"
786458,5509.04376669856,4.23199999999999e-05,90,0,"var1"
851994,5509.03695970542,0.000210124999999999,90,0,"var1"
917530,5509.03087878443,0.004811805,90,0,"var1"
983066,5509.01041235178,0.01011042,90,0,"var1"
1048602,5509.01454194852,0.00850208,90,0,"var1"
1114138,5509.01613025414,0.01348082,90,0,"var1"
1179674,3860.79838221328,0.000392,90,0,"var1"
1245210,2493.37822090838,0.00383688,90,0,"var1"
1310746,25.25,0.00209952,90,0,"var1"
1376282,23.5,0.010011125,90,0,"var1"
1441818,22.25,0.000725805,90,0,"var1"
1507354,21.25,0.002987645,90,0,"var1"
1572890,20.25,0.00035912,90,0,"var1"
1638426,17.25,0.003288605,90,0,"var1"
27,5509.1820829775,0.00223112,90,0,"var1"
65563,5509.17423244176,0,90,0,"var1"
131099,5509.1665634105,0.000202005,90,0,"var1"
196635,5509.15907588448,0.00045,90,0,"var1"
262171,5509.15176986442,0.000202005,90,0,"var1"
327707,5509.14464535106,4.50000000000001e-06,90,0,"var1"
393243,5509.13770234511,0.002145125,90,0,"var1"
458779,5509.13094084723,0.00040898,90,0,"var1"
524315,5509.11174540872,0.000403279999999999,90,0,"var1"
589851,5509.10570994969,0.000174845,90,0,"var1"
655387,5509.09985600191,0.009248,90,0,"var1"
720923,5509.05955889027,0.00049298,90,0,"var1"
786459,5509.05533856761,0.002318805,90,0,"var1"
851995,5509.04744247137,0.00161312,90,0,"var1"
917531,5509.04027244313,0.00021632,90,0,"var1"
983067,5509.0138158658,0.002106005,90,0,"var1"
1048603,5509.01086615377,0.001409805,90,0,"var1"
1114139,5509.01190989821,0.003775805,90,0,"var1"
1179675,3860.80187889778,0.001215245,90,0,"var1"
1245211,2493.40378849881,5.3045e-05,90,0,"var1"
1310747,28.25,0.010096205,90,0,"var1"
1376283,26.5,0.00206082,90,0,"var1"
1441819,25.25,0.000768319999999999,90,0,"var1"
1507355,24.25,0,90,0,"var1"
1572891,23.25,0.005418405,90,0,"var1"
1638427,20.25,0.01254528,90,0,"var1"
1703963,3,0.002987645,90,0,"var1"
28,5509.26090536655,0.003176045,90,0,"var1"
65564,5509.25142132761,0.010731125,90,0,"var1"
131100,5509.24211878551,0.00798848,90,0,"var1"
196636,5509.23299774118,0.006786125,90,0,"var1"
262172,5509.22405819552,0.00798848,90,0,"var1"
327708,5509.21530014941,0.011175125,90,0,"var1"
393244,5509.20672360371,0.0032805,90,0,"var1"
458780,5509.19832855927,0.006950205,90,0,"var1"
524316,5509.17423244176,0.006973805,90,0,"var1"
